Frequency (Hz), Magnitude (dB)
3187.500000, -40.014697
3199.218750, -38.508244
3210.937500, -37.298090
3222.656250, -36.311110
3234.375000, -35.501360
3246.093750, -34.838342
3257.812500, -34.301043
3269.531250, -33.874664
3281.250000, -33.548698
3292.968750, -33.315781
3304.687500, -33.170965
3316.406250, -33.111286
3328.125000, -33.135520
3339.843750, -33.244082
3351.562500, -33.439062
3363.281250, -33.724398
3375.000000, -34.106205
3386.718750, -34.593349
3398.437500, -35.198367
3410.156250, -35.938959
3421.875000, -36.840511
3433.593750, -37.940520
3445.312500, -39.296971
3457.031250, -41.005721
3468.750000, -43.241739
3480.468750, -46.378845
3492.187500, -51.485567
3503.906250, -65.897683
3515.625000, -55.621811
3527.343750, -48.400221
3539.062500, -44.566114
3550.781250, -41.977132
3562.500000, -40.051849
3574.218750, -38.546648
3585.937500, -37.336309
3597.656250, -36.348139
3609.375000, -35.536423
3621.093750, -34.870789
3632.812500, -34.330299
3644.531250, -33.900187
3656.250000, -33.569959
3667.968750, -33.332241
3679.687500, -33.182058
3691.406250, -33.116401
3703.125000, -33.133977
3714.843750, -33.235110
3726.562500, -33.421762
3738.281250, -33.697694
3750.000000, -34.068784
3761.718750, -34.543561
3773.437500, -35.134076
3785.156250, -35.857308
3796.875000, -36.737526
3808.593750, -37.810395
3820.312500, -39.130689
3832.031250, -40.788059
3843.750000, -42.943742
3855.468750, -45.933891
3867.187500, -50.672951
3878.906250, -62.216595
3890.625000, -57.173256
3902.343750, -49.041685
3914.062500, -44.967749
3925.781250, -42.265561
3937.500000, -40.272748
3949.218750, -38.721522
3960.937500, -37.476903
3972.656250, -36.461489
3984.375000, -35.627005
3996.093750, -34.941553
4007.812500, -34.383216
4019.531250, -33.936562
4031.250000, -33.590609
4042.968750, -33.337604
4054.687500, -33.172255
4066.406250, -33.091268
4078.125000, -33.093069
4089.843750, -33.177685
4101.562500, -33.346747
4113.281250, -33.603613
4125.000000, -33.953650
4136.718750, -34.404712
4148.437500, -34.967912
4160.156250, -35.658873
4171.875000, -36.499797
4183.593750, -37.523033
4195.312500, -38.777630
4207.031250, -40.342427
4218.750000, -42.355424
4230.468750, -45.092033
4242.187500, -49.241048
4253.906250, -57.684416
4265.625000, -61.390957
4277.343750, -50.454427
4289.062500, -45.812433
4300.781250, -42.862441
4312.500000, -40.728967
4324.218750, -39.085828
4335.937500, -37.775502
4347.656250, -36.710032
4359.375000, -35.835528
4371.093750, -35.116821
4382.812500, -34.529951
4394.531250, -34.058126
4406.250000, -33.689419
4417.968750, -33.415381
4429.687500, -33.230183
4441.406250, -33.130090
4453.125000, -33.113146
4464.843750, -33.179021
4476.562500, -33.328979
4488.281250, -33.565987
4500.000000, -33.894947
4511.718750, -34.323133
4523.437500, -34.860888
4535.156250, -35.522755
4546.875000, -36.329337
4558.593750, -37.310462
4570.312500, -38.510932
4582.031250, -40.001765
4593.750000, -41.904737
4605.468750, -44.455095
4617.187500, -48.207195
4628.906250, -55.139060
4640.625000, -67.877049
4652.343750, -51.856386
4664.062500, -46.596045
4675.781250, -43.400113
4687.500000, -41.132315
4699.218750, -39.403071
4710.937500, -38.031783
4722.656250, -36.920066
4734.375000, -36.008618
4746.093750, -35.259171
4757.812500, -34.645849
4769.531250, -34.150602
4781.250000, -33.760631
4792.968750, -33.466848
4804.687500, -33.262931
4816.406250, -33.144743
4828.125000, -33.109975
4839.843750, -33.157965
4851.562500, -33.289642
4863.281250, -33.507603
4875.000000, -33.816320
4886.718750, -34.222528
4898.437500, -34.735855
4910.156250, -35.369849
4921.875000, -36.143649
4933.593750, -37.084807
4945.312500, -38.234341
4957.031250, -39.656435
4968.750000, -41.459087
4980.468750, -43.844879
4992.187500, -47.267200
5003.906250, -53.158342
5015.625000, -87.169002
5027.343750, -53.508408
5039.062500, -47.438328
5050.781250, -43.954624
5062.500000, -41.536807
5074.218750, -39.713848
5085.937500, -38.277275
5097.656250, -37.116560
5109.375000, -36.166246
5121.093750, -35.384603
5132.812500, -34.743638
5144.531250, -34.223929
5156.250000, -33.811726
5167.968750, -33.497249
5179.687500, -33.273644
5191.406250, -33.136331
5203.125000, -33.082619
5214.843750, -33.111475
5226.562500, -33.223456
5238.281250, -33.420744
5250.000000, -33.707320
5261.718750, -34.089308
5273.437500, -34.575526
5285.156250, -35.178396
5296.875000, -35.915415
5308.593750, -36.811605
5320.312500, -37.903838
5332.031250, -39.248966
5343.750000, -40.940604
5355.468750, -43.148693
5367.187500, -46.233069
5378.906250, -51.203667
5390.625000, -64.420114
5402.343750, -56.159368
5414.062500, -48.640262
5425.781250, -44.724323
5437.500000, -42.096177
5449.218750, -40.147289
5460.937500, -38.625817
5472.656250, -37.403191
5484.375000, -36.405098
5496.093750, -35.584937
5507.812500, -34.911810
5519.531250, -34.364441
5531.250000, -33.927833
5542.968750, -33.591323
5554.687500, -33.347403
5566.406250, -33.190986
5578.125000, -33.118960
5589.843750, -33.129927
5601.562500, -33.224099
5613.281250, -33.403309
5625.000000, -33.671158
5636.718750, -34.033318
5648.437500, -34.498043
5660.156250, -35.076998
5671.875000, -35.786602
5683.593750, -36.650258
5695.312500, -37.702240
5707.031250, -38.994901
5718.750000, -40.613281
5730.468750, -42.708595
5742.187500, -45.590337
5753.906250, -50.070518
5765.625000, -60.091520
5777.343750, -58.656949
5789.062500, -49.595618
5800.781250, -45.308246
5812.500000, -42.510139
5824.218750, -40.462108
5835.937500, -38.874515
5847.656250, -37.603791
5859.375000, -36.568466
5871.093750, -35.718089
5882.812500, -35.019491
5894.531250, -34.449959
5906.250000, -33.993536
5917.968750, -33.638878
5929.687500, -33.377969
5941.406250, -33.205321
5953.125000, -33.117485
