Frequency (Hz), Magnitude (dB)
3187.500000, 0.031487
3199.218750, 0.029307
3210.937500, 0.026768
3222.656250, 0.023905
3234.375000, 0.020755
3246.093750, 0.017358
3257.812500, 0.013757
3269.531250, 0.009997
3281.250000, 0.006125
3292.968750, 0.002187
3304.687500, -0.001769
3316.406250, -0.005696
3328.125000, -0.009547
3339.843750, -0.013278
3351.562500, -0.016845
3363.281250, -0.020207
3375.000000, -0.023326
3386.718750, -0.026167
3398.437500, -0.028697
3410.156250, -0.030889
3421.875000, -0.032720
3433.593750, -0.034169
3445.312500, -0.035222
3457.031250, -0.035869
3468.750000, -0.036104
3480.468750, -0.035926
3492.187500, -0.035339
3503.906250, -0.034352
3515.625000, -0.032977
3527.343750, -0.031232
3539.062500, -0.029138
3550.781250, -0.026721
3562.500000, -0.024007
3574.218750, -0.021030
3585.937500, -0.017823
3597.656250, -0.014422
3609.375000, -0.010867
3621.093750, -0.007197
3632.812500, -0.003453
3644.531250, 0.000323
3656.250000, 0.004091
3667.968750, 0.007809
3679.687500, 0.011436
3691.406250, 0.014934
3703.125000, 0.018264
3714.843750, 0.021393
3726.562500, 0.024286
3738.281250, 0.026913
3750.000000, 0.029246
3761.718750, 0.031263
3773.437500, 0.032941
3785.156250, 0.034264
3796.875000, 0.035218
3808.593750, 0.035796
3820.312500, 0.035990
3832.031250, 0.035801
3843.750000, 0.035230
3855.468750, 0.034285
3867.187500, 0.032977
3878.906250, 0.031319
3890.625000, 0.029331
3902.343750, 0.027033
3914.062500, 0.024450
3925.781250, 0.021610
3937.500000, 0.018543
3949.218750, 0.015282
3960.937500, 0.011860
3972.656250, 0.008314
3984.375000, 0.004682
3996.093750, 0.001001
4007.812500, -0.002690
4019.531250, -0.006353
4031.250000, -0.009948
4042.968750, -0.013439
4054.687500, -0.016789
4066.406250, -0.019964
4078.125000, -0.022930
4089.843750, -0.025656
4101.562500, -0.028115
4113.281250, -0.030281
4125.000000, -0.032131
4136.718750, -0.033647
4148.437500, -0.034814
4160.156250, -0.035619
4171.875000, -0.036055
4183.593750, -0.036117
4195.312500, -0.035805
4207.031250, -0.035124
4218.750000, -0.034080
4230.468750, -0.032685
4242.187500, -0.030954
4253.906250, -0.028904
4265.625000, -0.026559
4277.343750, -0.023941
4289.062500, -0.021080
4300.781250, -0.018003
4312.500000, -0.014744
4324.218750, -0.011336
4335.937500, -0.007814
4347.656250, -0.004215
4359.375000, -0.000574
4371.093750, 0.003070
4382.812500, 0.006681
4394.531250, 0.010222
4406.250000, 0.013656
4417.968750, 0.016950
4429.687500, 0.020070
4441.406250, 0.022985
4453.125000, 0.025666
4464.843750, 0.028085
4476.562500, 0.030219
4488.281250, 0.032047
4500.000000, 0.033550
4511.718750, 0.034714
4523.437500, 0.035527
4535.156250, 0.035981
4546.875000, 0.036073
4558.593750, 0.035801
4570.312500, 0.035169
4582.031250, 0.034182
4593.750000, 0.032852
4605.468750, 0.031191
4617.187500, 0.029216
4628.906250, 0.026947
4640.625000, 0.024408
4652.343750, 0.021623
4664.062500, 0.018620
4675.781250, 0.015429
4687.500000, 0.012083
4699.218750, 0.008615
4710.937500, 0.005060
4722.656250, 0.001453
4734.375000, -0.002170
4746.093750, -0.005772
4757.812500, -0.009317
4769.531250, -0.012770
4781.250000, -0.016095
4792.968750, -0.019261
4804.687500, -0.022234
4816.406250, -0.024985
4828.125000, -0.027486
4839.843750, -0.029713
4851.562500, -0.031643
4863.281250, -0.033256
4875.000000, -0.034537
4886.718750, -0.035473
4898.437500, -0.036054
4910.156250, -0.036275
4921.875000, -0.036134
4933.593750, -0.035632
4945.312500, -0.034775
4957.031250, -0.033571
4968.750000, -0.032033
4980.468750, -0.030177
4992.187500, -0.028020
5003.906250, -0.025585
5015.625000, -0.022897
5027.343750, -0.019982
5039.062500, -0.016870
5050.781250, -0.013592
5062.500000, -0.010180
5074.218750, -0.006670
5085.937500, -0.003095
5097.656250, 0.000509
5109.375000, 0.004105
5121.093750, 0.007659
5132.812500, 0.011135
5144.531250, 0.014499
5156.250000, 0.017718
5167.968750, 0.020760
5179.687500, 0.023595
5191.406250, 0.026196
5203.125000, 0.028537
5214.843750, 0.030595
5226.562500, 0.032350
5238.281250, 0.033785
5250.000000, 0.034887
5261.718750, 0.035644
5273.437500, 0.036049
5285.156250, 0.036099
5296.875000, 0.035794
5308.593750, 0.035135
5320.312500, 0.034130
5332.031250, 0.032790
5343.750000, 0.031126
5355.468750, 0.029155
5367.187500, 0.026897
5378.906250, 0.024374
5390.625000, 0.021610
5402.343750, 0.018633
5414.062500, 0.015472
5425.781250, 0.012158
5437.500000, 0.008723
5449.218750, 0.005202
5460.937500, 0.001629
5472.656250, -0.001962
5484.375000, -0.005534
5496.093750, -0.009052
5507.812500, -0.012482
5519.531250, -0.015790
5531.250000, -0.018942
5542.968750, -0.021909
5554.687500, -0.024661
5566.406250, -0.027170
5578.125000, -0.029412
5589.843750, -0.031364
5601.562500, -0.033007
5613.281250, -0.034325
5625.000000, -0.035305
5636.718750, -0.035937
5648.437500, -0.036215
5660.156250, -0.036137
5671.875000, -0.035703
5683.593750, -0.034918
5695.312500, -0.033789
