Frequency (Hz), Magnitude (dB)
3187.500000, -0.835941
3199.218750, -1.053262
3210.937500, -1.265444
3222.656250, -1.469898
3234.375000, -1.663955
3246.093750, -1.844907
3257.812500, -2.010076
3269.531250, -2.156879
3281.250000, -2.282901
3292.968750, -2.385980
3304.687500, -2.464283
3316.406250, -2.516375
3328.125000, -2.541282
3339.843750, -2.538527
3351.562500, -2.508157
3363.281250, -2.450737
3375.000000, -2.367327
3386.718750, -2.259436
3398.437500, -2.128964
3410.156250, -1.978125
3421.875000, -1.809370
3433.593750, -1.625310
3445.312500, -1.428638
3457.031250, -1.222063
3468.750000, -1.008250
3480.468750, -0.789775
3492.187500, -0.569089
3503.906250, -0.348489
3515.625000, -0.130104
3527.343750, 0.084112
3539.062500, 0.292386
3550.781250, 0.493121
3562.500000, 0.684890
3574.218750, 0.866425
3585.937500, 1.036612
3597.656250, 1.194475
3609.375000, 1.339165
3621.093750, 1.469952
3632.812500, 1.586212
3644.531250, 1.687419
3656.250000, 1.773134
3667.968750, 1.843003
3679.687500, 1.896744
3691.406250, 1.934147
3703.125000, 1.955067
3714.843750, 1.959424
3726.562500, 1.947198
3738.281250, 1.918434
3750.000000, 1.873238
3761.718750, 1.811782
3773.437500, 1.734303
3785.156250, 1.641116
3796.875000, 1.532611
3808.593750, 1.409263
3820.312500, 1.271644
3832.031250, 1.120424
3843.750000, 0.956391
3855.468750, 0.780452
3867.187500, 0.593650
3878.906250, 0.397178
3890.625000, 0.192382
3902.343750, -0.019222
3914.062500, -0.235943
3925.781250, -0.455909
3937.500000, -0.677067
3949.218750, -0.897189
3960.937500, -1.113881
3972.656250, -1.324609
3984.375000, -1.526725
3996.093750, -1.717513
4007.812500, -1.894241
4019.531250, -2.054224
4031.250000, -2.194900
4042.968750, -2.313906
4054.687500, -2.409161
4066.406250, -2.478940
4078.125000, -2.521947
4089.843750, -2.537369
4101.562500, -2.524907
4113.281250, -2.484794
4125.000000, -2.417781
4136.718750, -2.325110
4148.437500, -2.208454
4160.156250, -2.069856
4171.875000, -1.911651
4183.593750, -1.736383
4195.312500, -1.546727
4207.031250, -1.345416
4218.750000, -1.135176
4230.468750, -0.918667
4242.187500, -0.698444
4253.906250, -0.476924
4265.625000, -0.256360
4277.343750, -0.038830
4289.062500, 0.173765
4300.781250, 0.379710
4312.500000, 0.577462
4324.218750, 0.765651
4335.937500, 0.943062
4347.656250, 1.108631
4359.375000, 1.261428
4371.093750, 1.400650
4382.812500, 1.525607
4394.531250, 1.635715
4406.250000, 1.730482
4417.968750, 1.809505
4429.687500, 1.872458
4441.406250, 1.919092
4453.125000, 1.949224
4464.843750, 1.962740
4476.562500, 1.959586
4488.281250, 1.939773
4500.000000, 1.903374
4511.718750, 1.850528
4523.437500, 1.781438
4535.156250, 1.696381
4546.875000, 1.595707
4558.593750, 1.479852
4570.312500, 1.349339
4582.031250, 1.204791
4593.750000, 1.046939
4605.468750, 0.876633
4617.187500, 0.694854
4628.906250, 0.502723
4640.625000, 0.301517
4652.343750, 0.092674
4664.062500, -0.122193
4675.781250, -0.341290
4687.500000, -0.562642
4699.218750, -0.784092
4710.937500, -1.003310
4722.656250, -1.217813
4734.375000, -1.424987
4746.093750, -1.622125
4757.812500, -1.806478
4769.531250, -1.975313
4781.250000, -2.125982
4792.968750, -2.255999
4804.687500, -2.363126
4816.406250, -2.445447
4828.125000, -2.501445
4839.843750, -2.530068
4851.562500, -2.530768
4863.281250, -2.503530
4875.000000, -2.448870
4886.718750, -2.367814
4898.437500, -2.261853
4910.156250, -2.132881
4921.875000, -1.983123
4933.593750, -1.815053
4945.312500, -1.631312
4957.031250, -1.434634
4968.750000, -1.227770
4980.468750, -1.013432
4992.187500, -0.794244
5003.906250, -0.572701
5015.625000, -0.351144
5027.343750, -0.131743
